Municipio,Postos
SAO PAULO,3693
RIO DE JANEIRO,1397
CURITIBA,816
PORTO ALEGRE,738
BRASILIA,662
FORTALEZA,630
BELO HORIZONTE,612
MANAUS,603
GOIANIA,585
RECIFE,556
RIBEIRAO PRETO,423
SALVADOR,403
TERESINA,382
CUIABA,378
CAMPO GRANDE,357
UBERLANDIA,353
SAO LUIS,327
MACEIO,307
JOAO PESSOA,291
LONDRINA,289
PORTO VELHO,288
CAMPINAS,288
SAO JOSE DOS CAMPOS,273
NATAL,271
BELEM,257
SANTO ANDRE,257
GUARULHOS,235
BAURU,230
SAO JOSE DO RIO PRETO,230
FLORIANOPOLIS,226
FEIRA DE SANTANA,221
OSASCO,221
SOROCABA,213
VARZEA GRANDE,208
JOINVILLE,207
CAMPOS DOS GOYTACAZES,202
PIRACICABA,195
UBERABA,194
MARINGA,194
CONTAGEM,190
SAO BERNARDO DO CAMPO,189
PELOTAS,187
CAXIAS DO SUL,183
NITEROI,169
CARUARU,168
JUNDIAI,166
CANOAS,165
CASCAVEL,164
PONTA GROSSA,164
DUQUE DE CAXIAS,164
ANAPOLIS,158
PETROLINA,158
JABOATAO DOS GUARARAPES,157
ARACAJU,156
APARECIDA DE GOIANIA,155
SANTOS,155
NOVO HAMBURGO,154
SAO GONCALO,152
JUIZ DE FORA,151
MONTES CLAROS,150
RONDONOPOLIS,150
PRESIDENTE PRUDENTE,149
ARARAQUARA,148
MACAPA,144
BLUMENAU,143
DIADEMA,143
ITAJAI,141
SAO JOSE,140
MOGI DAS CRUZES,140
BOA VISTA,139
AMERICANA,139
SAO CARLOS,139
ARACATUBA,138
FOZ DO IGUACU,135
PASSO FUNDO,134
LIMEIRA,134
TAUBATE,134
SERRA,133
FRANCA,133
CAMPINA GRANDE,132
SANTAREM,128
MARABA,127
VITORIA DA CONQUISTA,122
NOVA IGUACU,122
IMPERATRIZ,121
LAGES,120
SANTA MARIA,117
GUARAPUAVA,112
MOSSORO,112
GOVERNADOR VALADARES,111
CRICIUMA,111
MARILIA,111
OLINDA,110
PALMAS,110
UMUARAMA,108
RIO VERDE,106
BETIM,105
VILA VELHA,104
VITORIA,104
DOURADOS,103
